Sample ID,IC50 (uM),SMILES
NCGC00392441-01,50.1187,C[C@@]1(CO)[C@H](O)CC[C@@]2(C)[C@H](CC(=O)N3CCCCC3)C4=C(C[C@H]12)SC(=N4)NC(=O)C5CCC5
NCGC00398089-01,50.1187,FC(F)(F)OC1=CC=C(C=C1)\C2=C\C=C3\[C@@H]4C[C@@H](CN(C4)C(=O)NC5=CC(=CC=C5)C#N)CN3C2=O
NCGC00398392-01,50.1187,FC(F)(F)C1=CC=CC(=C1)NC(=O)O[C@@H]2CO[C@@H]3[C@H](CO[C@H]23)NC4=NC(=CC=N4)C5=CC=CC(=C5)C#N
NCGC00399604-01,50.1187,FC(F)(F)OC1=CC=C(C=C1)N2C(=O)[C@@H]3C[C@H](CCN3C2=O)NC(=O)C4=CC=NC=C4
NCGC00401984-01,50.1187,COC(=O)C1=CC2=C([NH]C(=N2)C[C@@H]\3C[C@@H](C(C)C)[C@H](CNC(=O)CCCC(O)=O)\C=C3C)C=C1
NCGC00408998-01,50.1187,O=C1CC2=C(CN1CC3=CC=CC=C3)[NH]N=C2C4=C(OC5=CC=CC=C5)C=CC=C4
NCGC00409031-01,50.1187,ClC1=C(C=CC=C1)C2=N[NH]C3=C2CC(=O)N(C3)CC4=NC=CC=C4
NCGC00409152-01,50.1187,COC1=CC=C(CN2CC3=C(CC2=O)C(=N[NH]3)C4=CC=N[N]4C)C=C1
NCGC00409853-01,50.1187,[O-][S+](=O)(NC1=NC2=C(NCCN(C2)C(=O)CC3=CC=C4OCOC4=C3)C=N1)C5=CC=CC=C5
NCGC00410136-01,50.1187,COC1=CC(=CN=C1)N2C[C@H]3[C@@H](C2)[S+]([O-])(=O)C(C)(C)C(=O)N3CCOC4=CC=CC=C4
NCGC00410949-01,50.1187,CN(C)C1=CC(=CC=C1)NC2=N[N]3C(=NN=C3C4=CC=C(C)C=N4)C=C2
NCGC00411414-01,50.1187,CC1=NOC2=C1N=C(C=C2C3=CC=CN=C3NCC4=CC=CN=C4)C5=CC=CC=C5
NCGC00411479-01,50.1187,CC1=NOC2=C1N=C(C=C2C3=CC=CN=C3N4CC(O)C4)C5=CC=CC=C5
NCGC00411653-01,50.1187,C/C1=C/C(=C(/CNC(=O)C2=C3C=C[NH]C3=CC(=N2)C4=CC=CC(=C4)O)C(=O)N1)C
NCGC00411707-01,50.1187,C[N]1C=CC2=C(N=C(C=C12)C3=CC=C(CO)C=C3)C(=O)NCC4=C(C)C=C(C)NC4=O
NCGC00411749-01,50.1187,COC1=CC=C(NC2=CC(=C3[N](C)C=NC3=C2)C(=O)NCC4=C(C)C=C(C)NC4=O)C=N1
NCGC00411907-01,50.1187,COC1=CC=C(NC2=N[NH]C(=N2)C(O)C3=CC=CC(=C3)C(F)(F)F)C=C1OC
NCGC00412115-01,50.1187,C1C\C(=C/CO1)C2=CC(=C[N]3C=NC=C23)C4=CC=CC5=C4[NH]N=C5
NCGC00412147-01,50.1187,OCC1=CC(=CC=C1)C2=C[N]3C=NC=C3C(=C2)C/4=C/COCC4
NCGC00412584-01,50.1187,COC1=CC=C(C=N1)C2=N[N]3C(=CN=C3C=C2)NC4=CC=C5OCOC5=C4
NCGC00412712-01,50.1187,CN(C)C1=CC(=CC=C1)C2=C3CCOC3=C(NC4=CC5=C(OCCO5)C=C4)N=C2
NCGC00413250-01,50.1187,CC1=CC(=CC=C1)CN2CCC3=C(CC2)N=C(O3)C(=O)NC4=CC=C(Cl)C=C4
NCGC00413770-01,50.1187,COC1=CC=C(NC2=CC=C3OCC(=O)N(CC4=CC=CC=C4C)CC3=N2)C=C1
NCGC00413846-01,50.1187,COCCN1CC2=NC(=CC=C2OCC1=O)NC3=CC(=C(F)C=C3)Cl
NCGC00415128-01,50.1187,FC1=CC=CC=C1CN2CCNC3=C([N](CC4=CC=CC=C4)C(=N3)CNC5=NOC=C5)C2=O
NCGC00416256-01,50.1187,COC1=CC=C(NC(=O)C2=CC=C3OCC(C)(COCCCN(C)C)NC3=C2)C=C1OC
NCGC00417128-01,50.1187,CNC(=O)C1=C2OCCN(CC3=CC=CN=C3)C2=CC(=C1)C4=CC=C(OC)C(=C4)OC
NCGC00418255-01,50.1187,O=C(C1CCCC1)N2CCC(CC2)OC3=CN=C4[N](C=CC4=C3)C5=CN=CN=C5
NCGC00418272-01,50.1187,CCC1=CN=C(N=C1)N2CCC(CC2)OC3=CN=C4[N](CCN[S+](C)([O-])=O)C=CC4=C3
NCGC00421790-01,50.1187,C[C@H](O)C1=C(C(=O)NC2CCCC2)C(=NO1)C3=CC=CC=C3
NCGC00423231-01,50.1187,CCCNC(=O)C1C2=CC=CC=C2C(=O)N(CCOC)C13CCCCC3
NCGC00424224-01,50.1187,C[N]1C=CC2=C1C=CC=C2C(=O)N[C@@H]([C@@H]3C[C@H](O)C3)C4=CC=CS4
NCGC00424635-01,50.1187,CSCC[C@@H]1NC(=O)C2=CC(=CC=C2NC1=O)NC(=O)CC3=CC4=C(CCO4)C=C3
NCGC00424690-01,50.1187,COC1=CC=CC(=C1)C(=O)NCCC2CCN(CC2)C(=O)NC3=CC(=CC=C3)C
NCGC00424731-01,50.1187,COC1=CC=CC(=C1)C(=O)NCCC2CCN(CC2)C(=O)NC3=CC(=CC=C3)F
NCGC00425049-01,50.1187,COC1=CC=C(C=C1)C(=O)NCCC2CCN(CC2)C(=O)NC3=CC=C(C)C(=C3)F
NCGC00425346-01,50.1187,FC1=CC=C(CCOC2=CC(=CC=C2)CN(CC3=CC=NC=C3)C(=O)CC4=CC5=C(OCO5)C=C4)C=C1
NCGC00425546-01,50.1187,COC1=CC=CC(=C1)CCC2CCCN(C2)C(=O)C3=CSC=C3
NCGC00425877-01,50.1187,COC1=CC=CC(=C1)CNC(=O)CCC2CCN(CC2)[S+]([O-])(=O)C3=CC=C(C)C=C3
NCGC00426488-01,50.1187,CC1=CC=C(C=C1)C2=NC(=C(C=N2)C(=O)NC3=CC(=CC=C3)Br)C4=CC=NC=C4
NCGC00426814-01,50.1187,CCOC(=O)C1CCN(CC1)C(=O)CC2=CC=C[N]2C3=CC(=CC=C3)Cl
NCGC00427315-01,50.1187,COC1=CC=C(CNC(=O)N2CCCCC2C3=NN=C([NH]3)C4=CC=NC=C4)C=C1
NCGC00430286-01,50.1187,COC1=CC=C(C=C1)C(=O)N2CCC3=CC=C(C=C23)C(=O)NC(C)C
NCGC00430348-01,50.1187,COC1=CC=C(CNC(=O)C2=CC=C3CCN(C(=O)C4=CC=C(F)C=C4)C3=C2)C(=C1)OC
NCGC00430354-01,50.1187,FC1=CC=C(C=C1)C(=O)N2CCC3=CC=C(C=C23)C(=O)NCC4=CC5=C(OCO5)C=C4
NCGC00430702-01,50.1187,CN(C)C(=O)C1=CSC(=N1)N2CCN(CC2)C3=CC(=CC=C3)Cl
NCGC00431156-01,50.1187,CC1=CC=C(C=C1)C2=NOC=C2CCC(=O)NCC3CCCO3
NCGC00431919-01,50.1187,COCC\1=C\C(=O)N(CC(=O)NC2=CC(=CC=C2)Br)\C(=N1)N3CCOCC3
NCGC00431927-01,50.1187,COCC\1=C\C(=O)N(CC(=O)NCC2=CC=CC(=C2)OC)\C(=N1)N3CCOCC3
NCGC00432298-01,50.1187,CN(CC1=NC=C[NH]1)C(=O)C2=CC=CC(=C2)C3=C(C)C=CC=C3
NCGC00432402-01,50.1187,OC(=O)C1=CC(=CC(=C1)C2=CC=C3OCCOC3=C2)[S+]([O-])(=O)N4CCOCC4
NCGC00433424-01,50.1187,C[C@@H](N)C(=O)N1CCOC2=C(O)C=C(C=C2C1)C3=C(Cl)C=C(C=N3)C(F)(F)F
NCGC00433744-01,50.1187,CN1\C=C/C2=C(C1=O)C(=C(C)S2)C(=O)NCC3=CC(=CC=C3)Br
NCGC00434763-01,50.1187,OC1=CC=C(C=C1)C(=O)N[C@H]2CC[C@@H](C2)NC3=NC(=CC=N3)C4=CN=CC=C4
NCGC00435972-01,50.1187,CCOC1=CC=CC=C1C(=O)N2CCC3=C(C2)C(=N[NH]3)C(=O)NCCCC4=CC=CC=C4
NCGC00436304-01,50.1187,COC1=CC(=CC(=C1OC)OC)C(=O)N2CCCN(CC2)C3=CC(=N[NH]3)C4=CC=C(C)C(=C4)C
NCGC00437426-01,50.1187,ClC1=CC=C(C=C1)C2=N[NH]C(=C2)N3CCCC(C3)NC(=O)C4=CN=CC=C4
NCGC00437430-01,50.1187,CC[N]1C=CC(=N1)C(=O)NC2CCCN(C2)C3=CC(=N[NH]3)C4=CC=C(Cl)C=C4
NCGC00437618-01,50.1187,COC1=CC=C(C=C1)C2=N[NH]C(=C2)N3CCCC(C3)NC(=O)C4=CC(=CC(=C4)OC)OC
NCGC00437744-01,50.1187,O=C/1N\C=C(/C=C1)C(=O)NCC2CCN(CC2)C3=CC(=N[NH]3)C4=CC=CC=C4
NCGC00437805-01,50.1187,COC1=C2C=C(CN3CCCC(O)C3)C(=NC2=C(OC)C=C1)C4=CC(=CC=C4)C
NCGC00438353-01,50.1187,CCCC1=NC2=C(C=N[N]2C)C(=N1)NCC(N3CCOCC3)C4=NC=CC=C4
NCGC00440339-01,50.1187,O=C(CCCC1=C[NH]C2=CC=CC=C12)N3CCC/4=C(C3)/C(=O)N5N/C=C\C5=N4
NCGC00441023-01,50.1187,CC[N]1N=CC=C1C(=O)N2CC(C2)OC3=CC=C(C=C3)C4=NC(=NO4)C
NCGC00441059-01,50.1187,CCNC(=O)N1CC(C1)OC2=CC=C(C=C2)C3=NC(=NO3)C
NCGC00442866-01,50.1187,COCCC1=NOC(=N1)C2CC3=CC=CC=C3N2C(=O)NCC4=CC=CO4
NCGC00445025-01,50.1187,CC1=C(CCNC(=O)C2=C[N]3C=C(N=C3C=C2)C4=CC=CC=C4)SC=N1
NCGC00446729-01,50.1187,CC1=CC=C(S1)C(=O)N2CCC3(CC2)N\C(=N/O3)C4=CC=CC(=C4)Br
NCGC00446921-01,50.1187,COC1=CC=CC(=C1)CC(=O)N2CCC3(CC2)N\C(=N/O3)C4=CC=CC=C4
NCGC00446933-01,50.1187,C[N]1N=C(C(=O)N2CCC3(CC2)N\C(=N/O3)C4=CC=CC=C4)C5=CC=CC=C15
NCGC00447325-01,50.1187,O=C(NCC/C1=C/CCCC1)C2=NOC(=N2)/C3=C/C=C\NC3=O
NCGC00447735-01,50.1187,COC(=O)C1=CC=CC(=C1)C2=NC(=NO2)C3CN(C(=O)C3)C4=CC=C(Cl)C=C4
NCGC00447849-01,50.1187,COC1=CC=C(C=C1OC)N2CC(CC2=O)C3=NOC(=N3)C4=CC=CC=C4F
NCGC00447851-01,50.1187,COC1=CC=C(C=C1OC)N2CC(CC2=O)C3=NOC(=N3)C4=CC=C5OCOC5=C4
NCGC00447955-01,50.1187,COC1=CC=C(C=C1)N2CC(CC2=O)C3=NOC(=N3)C4=C(OC)C=CC=C4
NCGC00448163-01,50.1187,COC1=C(CCC(=O)NC2=CC=C(C=C2)C3=NN=C4CCCC[N]34)C=CC=C1
NCGC00448283-01,50.1187,O=C(CCCC1=CC=CC=C1)NC2=CC(=CC=C2)C3=NN=C4CCCC[N]34
NCGC00448297-01,50.1187,OC1=NC=CC=C1C(=O)NC2=CC(=CC=C2)C3=NN=C4CCCC[N]34
NCGC00448577-01,50.1187,C[N]1C(=CC2=C1C(=O)N(C(=O)N2CC(=O)NC3=CC=CC=C3F)C4=CC=C(C)C=C4)C
NCGC00450272-01,50.1187,BrC1=CC=C(C=C1)C2C[N]3N=C(C=C3CO2)C(=O)NCCC4=CC=CC=N4
NCGC00450424-01,50.1187,CCOC(=O)C1=CC(=CC=C1)NC(=O)CCN2\C=C/[N]3N=C4CCCCC4=C3C2=O
NCGC00450679-01,50.1187,CC1=NC(=NO1)C/2=C/3CCCCCN3C(=O)N(CC4=CC=CC(=C4)C)C2=O
NCGC00453280-01,50.1187,COC1=NC=C(C=C1)C(=O)N2CCCC(C2)C3=NOC(=N3)COC4=CC=CC=C4
NCGC00453995-01,50.1187,CC/1=C/[N]2N=C(C=C2C(=O)N1)C(=O)N3CCC(CC3)NC(=O)C4=C5C=CC=CC5=CC=N4
NCGC00454005-01,50.1187,COC1=CC(=C(C=C1)C(=O)NC2CCN(CC2)C(=O)C3=N[N]4\C=C(C)/NC(=O)C4=C3)C
NCGC00454060-01,50.1187,CC1=CC(=C(C)C=C1)NC(=O)C2=N[N]3C=C(C)N=C(N4CCSCC4)C3=C2
NCGC00454234-01,50.1187,CC/1=C/[N]2N=NC(=C2C(=O)N1)C(=O)NCC3CCCCC3
NCGC00454264-01,50.1187,CC/1=C/[N]2N=NC(=C2C(=O)N1)C(=O)N3CCC(CC3)C(=O)NC4=CC=CC(=C4)Cl
NCGC00454504-01,50.1187,COC1=CC=C(NC(=O)C2=CC(=N[NH]2)C3=CC=C[NH]3)C=C1F
NCGC00454721-01,50.1187,CCC1=NOC(=N1)C2=C[N](N=N2)C3CCN(CC3)C(=O)C4=CC=C(Cl)S4
NCGC00454792-01,50.1187,FC1=CC=CC(=C1)CC(=O)N2CCC(CC2)[N]3C=C(N=N3)C4=NC(=NO4)C5CC5
NCGC00454825-01,50.1187,O=C(N1CCC(CC1)[N]2C=C(N=N2)C3=NC(=NO3)C4=CC=CC=C4)C5=CC=CS5
NCGC00455124-01,50.1187,COC1=C(OC)C=C(C=C1)C(=O)N2CCC(C2)[N]3C=C(N=N3)C4=NC(=NO4)C5=CC=CC=C5
NCGC00455586-01,50.1187,FC(F)(F)C1=NC=NC(=C1)N2CCC(CC2)C(=O)NCC3=CC4=C(OCO4)C=C3
NCGC00455770-01,50.1187,CC1=CC(=CC(=C1)NC(=O)N2CCC3(CCNC(=O)CC3)CC2)C
NCGC00456592-01,50.1187,COC1=CC=C(NC(=O)C2C[N]3C=CC=C3C(=O)N2CC(C)C)C=C1
NCGC00456992-01,50.1187,CC1=CC=C(C)C(=C1)C2=N[N]3\C=C/N(CCNC(=O)C4=C(F)C=CC=C4Cl)C(=O)C3=C2
NCGC00457290-01,50.1187,CC[N]1N=C(C)C(=C1C)C2=CC(=NO2)C(=O)N3CCC(CCOC4=CC=CC=C4OC)C3
NCGC00458155-01,50.1187,CCC[S+]([O-])(=O)N1CCC(C1)OC2=CC=CC=C2C3=NC(=NO3)C4CC4
NCGC00459323-01,50.1187,CN1C(CNC(=O)CCC2=NC(=NO2)C3=CC=CC=C3)C[N]4C=CC=C4C1=O
NCGC00464074-01,50.1187,CC1=CN=C(C=N1)C(=O)N2CCC(CC2)CC3=CC=C(C=C3)C(N)=O
NCGC00464582-01,50.1187,[O-][S+](=O)(N1C[C@H](C[C@H]1C(=O)N2CCCC2)OC3=CC=CC=C3)C4=CC=CC=C4
NCGC00465139-01,50.1187,COC1=C(F)C=C(C=C1)C(=O)N2CCCCCCN(C)C(=O)[C@@H]3CCC[C@H]23
NCGC00465143-01,50.1187,COC1=CC=C(CCC(=O)N2CCCCCCN(C)C(=O)[C@@H]3CCC[C@H]23)C=C1
NCGC00465498-01,50.1187,C[N]1N=C(C(=O)NCC(=O)N2CCCCCNC(=O)CC2C3=CC=CC=C3)C4=CC=CC=C14
NCGC00466600-01,50.1187,[O-][S+](=O)(N1CCCCCCNC(=O)[C@@H]2CCCC[C@H]12)C3=C4N=CC=CC4=CC=C3
NCGC00466846-01,50.1187,O=C(CC1=CC=CC=C1)N2CCCCCNC(=O)[C@@H]3CCC[C@H]23
NCGC00468432-01,50.1187,FC1(F)C[C@H](N(C1)C(=O)C2=NN=CC=C2)C3=NC(=NO3)C4=CC=CC=C4
NCGC00470083-01,50.1187,FC1=CC=CC=C1CC(=O)N2CCN(CC2)C3=NN=C4C=CC(=C[N]34)Cl
NCGC00470457-01,50.1187,CCC1=N[N]2C=CC=C(N[S+]([O-])(=O)C3=CN=CC=C3)C2=N1
NCGC00470790-01,50.1187,CN1CCCN(C(=O)C2=CC=CS2)C3=CC=CC=C13
NCGC00470928-01,50.1187,CC\1=C(CCO)\C(=O)N(CC(=O)NC2=CC=CC=C2)\C(=N1)C3=CC=CC=C3
NCGC00473176-01,50.1187,CCC1OC2=CC=C(NC(=O)C3=CC=CC=C3)C=C2CN(CC4=CC(=CC(=C4)F)F)C1=O
NCGC00473201-01,50.1187,CCC(C)NC(=O)CCC\1=N\N\C(=N/C1=O)C2=CC(=CC=C2)OCC=C
NCGC00473632-01,50.1187,CC(C)CN(CC1CN(CCO1)C(=O)C2=C(Cl)C=CC=C2)C(=O)C3=CC(=CC=C3)F
NCGC00473787-01,50.1187,CC(C)CCN(CCC(=O)NCC1=CC=CC=C1)C(=O)C2=C(C)OC(=C2)C
NCGC00474033-01,50.1187,COC1=CC=C(C=C1OC)C(=O)NC2=CC=C3OCC(=O)N(CC4=C(OC)C(=CC=C4)OC)CC3=C2
NCGC00474075-01,50.1187,CCCCNC(=O)CC/1=C/SC/2=N/C(=C(\C(=O)N12)C3=N[N](C(=C3)C)C4=CC(=CC=C4)C)C
NCGC00474660-01,50.1187,CC(C)NC(=O)CC/1=C/SC\2=N\C(=C(/C(N12)C3=CC(=CC=C3C)C)C(=O)NC4=CC=CC=C4)C
NCGC00474834-01,50.1187,CC(NC(=O)C1CC(CN(C1)C(C)=O)C2=CC=CC(=C2)C)C3=CC=CC=C3
NCGC00475111-01,50.1187,CCOC1=CC=CC(=C1)C/2=N/C(=O)/C(=N\N2)CCC(=O)NCCC(C)C
NCGC00475112-01,50.1187,CCOC1=CC=CC(=C1)C/2=N/C(=O)/C(=N\N2)CCC(=O)N3CCC(CC3)CC4=CC=CC=C4
NCGC00477762-01,50.1187,COC1=CC=C(C=C1)N2N\C(=N/C2=O)C3CCCN(C3)C(=O)C4=CC=C(C=C4)C(F)(F)F
NCGC00479501-01,50.1187,COC1=CC=C(C=C1)C2=C3CCN(CCC3=NC(=N2)C(C)C)C(=O)C4=CC=C(C)C=C4
NCGC00479830-01,50.1187,COC1=CC=C(CC(=O)N2CCCN(CC2)C3=NC4=NC=CC=C4O3)C=C1
NCGC00373820-01,56.2341,COC1=CC=CC=C1C(=O)N2CCC3(C2)C(=O)NC4=CC=CC=C34
NCGC00391337-01,56.2341,CC(C)[C@@H]1C[C@@H](CC2=NC3=C([NH]2)C=CC=C3)\C(=C/[C@H]1CNC(=O)CC4(CCCC4)CC(O)=O)C
NCGC00393392-01,56.2341,COC1=CC=C(CC(=O)N2CCOC[C@@H](C2)OC3=CC=C(OC)C=C3)C=C1
NCGC00394293-01,56.2341,COC1=CC=C(C=C1)C2=C[NH]C(=N2)[C@@H]3COCCN3CC4=CC=CC=C4
NCGC00395564-01,56.2341,O=C1[C@@H]2C[C@@H](CN2CC3=CC=NC4=CC=CC=C34)OC5=C(C=CC=C5)N1CC6CC6
NCGC00400381-01,56.2341,CC1=CC=C(C=C1)C2=NOC(=N2)[C@@H]3CC4=C(CN3C(=O)NC5=CC=C(Cl)C=C5)N=C[NH]4
NCGC00410855-01,56.2341,O=C(NCC1=CC=NC=C1)C2=CC(=NC=C2)C3=NN=C4C=CC(=N[N]34)NC5=CC=CC=C5
NCGC00411515-01,56.2341,CC1=NOC2=C1N=C(C=C2NC3CCOCC3)C4=CSC=C4
NCGC00411794-01,56.2341,COC1=CC(=CC=C1)NC2=CC(=C3[N](C)C=NC3=C2)C(=O)NCC4=CC=CN=C4
NCGC00411999-01,56.2341,COCC[N]1C=CC2=C(N=C(C=C12)C3=CC=CC4=C3C=N[NH]4)C/5=C/COCC5
NCGC00412015-01,56.2341,[NH]1N=CC2=C1C(=CC=C2)C3=C[N]4C=NC=C4C(=C3)C5=CC=NC=C5
NCGC00412629-01,56.2341,CN(CC1=CC=C(F)C=C1)C2=N[N]3C(=CN=C3C=C2)NC4=CC=CC(=C4)O
NCGC00412786-01,56.2341,CNC(=O)C1=CC=CC(=C1)C2=C3CCOC3=C(NC4=CC=C(Cl)C=N4)N=C2
NCGC00412863-01,56.2341,CN(C)C1=NC=C2CCCC(C)(C(=O)NC3=CC=CC=C3)C2=N1
NCGC00413364-01,56.2341,FC1=C(F)C(=CC=C1)CN2CCC3=C(CC2)N=C(O3)C(=O)NC4=CC=C(Cl)C=C4
NCGC00413633-01,56.2341,CC(=O)NC1=CC=CC(=C1)C2=NC=C3C(=O)N(CCOC3=N2)CC4=CC=CC=C4
NCGC00414026-01,56.2341,FC1=CC(=CC=C1)C2=C[N]3C(=CN=C3C4=CC=C(C=C4)C(=O)N5CCC6=CC=CN=C56)C=N2
NCGC00417829-01,56.2341,COC1=NC=C(C=N1)C2=CC3=C(N=C(CCC4=CC=CC=C4)[N]3C)N=C2OC
NCGC00418634-01,56.2341,COC1=CC=C(NC(=O)[C@@H]2C[C@H](N(C2)[S+]([O-])(=O)C3=CC=CC=C3)C4=CC=C(F)C=C4)C=N1
NCGC00419515-01,56.2341,COCC1=CC2=C(C=C1)[N](CC3=CC=CN=C3)N=C2OC(C)(C)C(=O)NC4=CC(=N[N]4C)C
NCGC00421111-01,56.2341,CC(=O)C1=CC=C(NC(=O)O[C@@H]2CO[C@@H]3[C@H](CO[C@H]23)NC(=O)NC4=CC=CC=C4)C=C1
NCGC00422937-01,56.2341,COC1=CC=C(C=N1)[C@@H](NC(=O)C2=C3OCCOC3=CS2)[C@H]4C[C@@H](O)C4
NCGC00425521-01,56.2341,FC1=CC=C(C=C1)C(=O)NC2=CC=C3C(=C2)N=CN=C3N4CCCCC4
NCGC00426521-01,56.2341,O=C(NC1=CC(=CC=C1)[N]2C=CC=N2)C3CCCN3C(=O)C4=CSC=C4
NCGC00431877-01,56.2341,COCC\1=C\C(=O)N(CC(=O)NC2=CC(=CC=C2)C)\C(=N1)N3CCOCC3
NCGC00433850-01,56.2341,CN1\C=C/C2=C(C1=O)C(=C(C)O2)C(=O)NCC3=C(F)C=CC=C3
NCGC00435126-01,56.2341,COC1=CC=C(CNC(=O)COC2=CC=C(NC(=O)C3CC3)C=N2)C=C1
NCGC00438490-01,56.2341,O=C(NC1=CC2=C(OCCO2)C=C1)N3CCC(C3)CC4=NN=C([NH]4)C5=CC=CN=C5
NCGC00440249-01,56.2341,CSC1=CC=C(NC(=O)N2CCC\3=C(C2)\C(=O)N4N\C(=C/C4=N3)C5=CC=CC=C5)C=C1
NCGC00440380-01,56.2341,CCC1=NOC(=C1)CN(C)C(=O)C2=C(C)C3=CC=C(OC)C=C3O2
NCGC00440425-01,56.2341,O=C(N1CCCC\2(C1)NC3=C(N=CC=C3)\N=C2NC4CCCC4)C5=CC=CC=C5
NCGC00441101-01,56.2341,O=C(CC1=CC=CC=C1)N2CC(C2)OC3=CC=C(C=C3)C4=NC(=NO4)C5=CC=CC=C5
NCGC00441516-01,56.2341,CN(C)C1=CC(=NC=N1)N2CCCC(C2)NC(=O)CC3=CC=CC=C3F
NCGC00442724-01,56.2341,CN1CC2=C(C=CC=C2)[N]3C=CN=C3C14CCN(CC4)C(=O)C5=CC=C(C)S5
NCGC00445103-01,56.2341,O=C1NC2=C(C=CC=C2)N1C3CCN(CC3)C4=NC(=CC=N4)C5=CN=CC=C5
NCGC00446039-01,56.2341,COC1=CC=C(C=C1)C2=NOC(=N2)[C@@H]3CCCN3C(=O)C4=C(Cl)C=CC=C4
NCGC00446867-01,56.2341,CC1=CC=C(C=C1)C(=O)N2CCC3(CC2)N\C(=N/O3)C4=CC=C(C)C=C4
NCGC00448277-01,56.2341,FC1=CC=C(CC(=O)NC2=CC(=CC=C2)C3=NN=C4CCCC[N]34)C=C1
NCGC00448307-01,56.2341,COC1=CC(=C(C=C1)C(=O)NC2=CC(=CC=C2)C3=NN=C4CCCC[N]34)C
NCGC00448469-01,56.2341,O=C(NCCC1=CC=CC=C1)NC2=CC(=CC=C2)C3=NN=C4CCCC[N]34
NCGC00450968-01,56.2341,FC1=CC(=CC=C1)C(=O)N2CCCC3(C2)NC(=O)N(CC4=CC=C(Cl)C=C4)C3=O
NCGC00453359-01,56.2341,FC1=C(OCC2=NC(=NO2)C3CCCN(C3)C(=O)CC4=CC=CC=C4)C=CC=C1
NCGC00453994-01,56.2341,CC/1=C/[N]2N=C(C=C2C(=O)N1)C(=O)N3CCC(CC3)NC(=O)C4=NC5=C(C=CC=C5)C=C4
NCGC00454241-01,56.2341,COC1=CC=C(C=C1)C(C)NC(=O)C2=C3[N](\C=C(C)/NC3=O)N=N2
NCGC00454484-01,56.2341,COC1=CC=C(NC(=O)C2=CC(=N[NH]2)C3=CC=C[NH]3)C=C1
NCGC00469324-01,56.2341,OC(=O)[C@@H]1CN(C[C@@H]1C(=O)NCC2=C(F)C=CC=C2)CC3=CC=CC=C3
NCGC00470965-01,56.2341,CCC1=CC=CC=C1NC(=O)CN\2C(=O)/C(=C(C)\N=C2C3=CC=C(F)C=C3)CCO
NCGC00474175-01,56.2341,COC1=CC=C(C=C1OC)C(=O)NC2=CC=C3OC(C)C(=O)N(CC4=CC=CC=C4Cl)CC3=C2
NCGC00474184-01,56.2341,CC1OC2=CC=C(NC(=O)CC3=CC=CC=C3)C=C2CN(CC4=CC=C(Cl)C=C4)C1=O
NCGC00477179-01,56.2341,COC1=CC(=CC=C1)[S+]([O-])(=O)N2CCC3(C2)OC(=O)NC4=CC=CC=C34
NCGC00477750-01,56.2341,ClC1=CC=C(C=C1)N2N\C(=N/C2=O)C3CCCN(C3)C(=O)CC4=CC=CC=C4
NCGC00480060-01,56.2341,COC(=O)N1CCC2=C(C1)C(=NC(=N2)C(C)C)C3=CC=C(O)C=C3
NCGC00480427-01,56.2341,OC1=CC=C(C=C1)C2=C3CN(CCC3=NC(=N2)C4CC4)CC5=CC=C(F)C=C5
NCGC00375214-01,63.0957,COC1=C(C=CC=C1)C2=CC(=N[N]3C=CC=C23)C(=O)N4CCOCC4
NCGC00413386-01,63.0957,CC1=C(CN2CCC3=C(CC2)N=C(O3)C(=O)NC4=CC=CC=C4)C(=NO1)C
NCGC00413425-01,63.0957,OC1=CC(=CC=C1)CN2CCC3=C(CC2)N=C(O3)C(=O)NC4=CC=CN=C4
NCGC00440319-01,63.0957,CCC[N]1N=C(C)C(=C1C)C2=N[NH]C(=C2)C(=O)N3CCC\4=C(C3)\C(=O)N5N\C(=C/C5=N4)C6=CC=CC=C6
NCGC00480077-01,63.0957,CC(C)C1=NC2=C(CN(CC2)CC3=CC=C(C)C=C3)C(=N1)C4=CC=C(O)C=C4
NCGC00378047-01,79.4328,NCCCC(=O)N1CCCC2(C1)CC3=CC=CC=C3CN2C(=O)CC4=CC=CC(=C4)Cl
NCGC00393072-01,79.4328,CC(C)NC(=O)N1CCOC[C@H]1C2=NC(=C[NH]2)C3=CC=C(OC(F)(F)F)C=C3
NCGC00393497-01,79.4328,C[C@@H](NC(=O)NC1=CN=CC=C1)C2=C(C(O)=O)C(=NO2)C3=CC=C(F)C=C3
NCGC00393513-01,79.4328,C[C@@H](NC(=O)C1=CC=CC=C1)C2=C(C(O)=O)C(=NO2)C3=CC=CN=C3
NCGC00394890-01,79.4328,FC1=CC2=C([NH]C(=N2)[C@H]3CCN(C3)C(=O)NCC4=CC=CC=C4)C=C1
NCGC00396116-01,79.4328,C[C@@H](NC(=O)NC1=CC=CC=C1)C2=C(C(O)=O)C(=NO2)C3=CC=C(F)C=C3
NCGC00398874-01,79.4328,CC1=CC=C(NC(=O)N2C[C@@H]3C[C@H](C2)\C4=C(\C=C/C(=O)N4C3)C5=CC=CS5)C=C1
NCGC00411093-01,79.4328,NC(=O)C1=CC(=CC=C1)C2=CC3=C(CN(CCN3)CCC4=CC=CC=C4)C=N2
NCGC00411312-01,79.4328,C1CN(CC2=CC=CC=N2)CC3=C(N1)C=NC(=C3)NC4=CC=CC=C4
NCGC00412001-01,79.4328,OC1=CC=C(C=N1)C2=CC(=C[N]3C=NC=C23)C4=CC=CC(=C4)C(F)(F)F
